Date,Open,High,Low,Close,Adj Close,Volume
2019-05-15,5.570000,5.570000,5.410000,5.520000,5.520000,4748700
2019-05-16,null,null,null,null,null,null
2019-05-17,5.440000,5.480000,5.400000,5.460000,5.460000,6404500
2019-05-21,5.490000,5.490000,5.270000,5.300000,5.300000,9767400
2019-05-23,5.380000,5.380000,5.130000,5.360000,5.360000,8789000
2019-05-24,5.320000,5.370000,5.240000,5.310000,5.310000,10286700
2019-05-27,5.330000,5.330000,5.230000,5.270000,5.270000,11744100
2019-05-28,5.280000,5.380000,5.270000,5.360000,5.360000,50409200
2019-05-29,5.350000,5.550000,5.340000,5.500000,5.500000,7351600
2019-05-30,5.310000,5.510000,5.310000,5.480000,5.480000,5339500
2019-05-31,5.550000,5.640000,5.470000,5.500000,5.500000,11748200
2019-06-03,5.500000,5.560000,5.450000,5.520000,5.520000,4256000
2019-06-04,5.500000,5.560000,5.430000,5.430000,5.430000,1793900
2019-06-05,5.430000,5.430000,5.430000,5.430000,5.430000,0
2019-06-06,5.430000,5.430000,5.430000,5.430000,5.430000,0
2019-06-07,5.520000,5.580000,5.350000,5.510000,5.510000,5114700
2019-06-10,5.510000,5.670000,5.510000,5.600000,5.600000,5279400
2019-06-11,5.670000,5.690000,5.570000,5.600000,5.600000,12100500
2019-06-12,5.620000,5.680000,5.600000,5.680000,5.680000,8402200
2019-06-13,5.570000,5.670000,5.530000,5.630000,5.630000,6283500
2019-06-14,5.670000,5.670000,5.630000,5.630000,5.630000,5808800
2019-06-17,5.620000,5.650000,5.580000,5.610000,5.610000,2864600
2019-06-18,5.650000,5.650000,5.600000,5.620000,5.620000,1942900
2019-06-19,5.650000,5.690000,5.620000,5.640000,5.640000,5497100
2019-06-20,5.600000,5.760000,5.600000,5.760000,5.760000,7048600
2019-06-21,5.670000,5.830000,5.670000,5.790000,5.790000,9097900
2019-06-24,5.810000,5.810000,5.730000,5.760000,5.760000,4434100
2019-06-25,5.830000,5.830000,5.680000,5.780000,5.780000,2301000
2019-06-26,5.790000,5.830000,5.730000,5.800000,5.800000,4947300
2019-06-27,5.710000,5.820000,5.710000,5.800000,5.800000,6891800
2019-06-28,5.740000,5.810000,5.740000,5.800000,5.800000,3455300
2019-07-01,5.800000,5.820000,5.760000,5.820000,5.820000,3352800
2019-07-02,5.850000,5.950000,5.790000,5.840000,5.840000,9534900
2019-07-03,5.860000,5.870000,5.800000,5.870000,5.870000,3269400
2019-07-04,5.880000,5.890000,5.810000,5.830000,5.830000,1288400
2019-07-05,5.830000,5.870000,5.820000,5.860000,5.860000,5455800
2019-07-08,5.740000,5.800000,5.700000,5.750000,5.750000,3782300
2019-07-09,5.780000,5.820000,5.770000,5.800000,5.800000,5005000
2019-07-10,5.800000,5.820000,5.770000,5.810000,5.810000,3246400
2019-07-11,5.820000,5.820000,5.790000,5.810000,5.810000,1358400
2019-07-12,5.780000,5.800000,5.770000,5.790000,5.790000,3269500
2019-07-15,5.750000,5.800000,5.680000,5.740000,5.740000,1038400
2019-07-16,5.760000,5.800000,5.710000,5.800000,5.800000,1113300
2019-07-17,5.740000,5.780000,5.740000,5.770000,5.770000,2156100
2019-07-18,5.760000,5.780000,5.760000,5.760000,5.760000,981300
