Open,High,Low,Close,Adj Close,Volume
5.55,5.58,5.52,5.54,5.54,8473000
5.55,5.66,5.51,5.55,5.55,5282000
5.56,5.59,5.51,5.51,5.51,6490300
null,null,null,null,null,null
5.49,5.49,5.38,5.44,5.44,8313300
5.44,5.45,5.39,5.39,5.39,6644700
5.39,5.4,5.24,5.24,5.24,8804800
null,null,null,null,null,null
5.35,5.6,5.35,5.56,5.56,1856000
5.64,5.64,5.39,5.45,5.45,3041700
5.39,5.5,5.38,5.44,5.44,3762800
5.5,5.5,5.38,5.45,5.45,5269500
5.42,5.49,5.36,5.44,5.44,4088600
5.4,5.51,5.4,5.45,5.45,2896400
5.41,5.47,5.4,5.4,5.4,21180700
5.4,5.43,5.38,5.4,5.4,4940800
5.41,5.41,5.37,5.38,5.38,2857900
5.38,5.43,5.3,5.37,5.37,4663400
5.37,5.42,5.35,5.4,5.4,4033400
5.39,5.39,5.22,5.35,5.35,3672000
5.39,5.39,5.21,5.29,5.29,7806500
5.3,5.34,5.23,5.3,5.3,5529300
5.3,5.3,5.24,5.27,5.27,4603900
5.28,5.28,5.15,5.25,5.25,4709500
5.2,5.28,5.18,5.25,5.25,1191100
5.2,5.46,5.2,5.4,5.4,1858500
5.35,5.45,5.35,5.36,5.36,5150400
5.44,5.48,5.36,5.4,5.4,2299300
5.36,5.38,5.31,5.35,5.35,3221200
5.35,5.52,5.33,5.45,5.45,4172900
5.5,5.93,5.45,5.93,5.93,4390100
